False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
2.0002000200020003e-05,0.0,0.9999999921096435
0.008740874087408741,0.0,0.9769649707849637
0.008740874087408741,0.2,0.9766898087629744
0.017721772177217723,0.2,0.732834716509153
0.017721772177217723,0.4,0.7324132467375993
0.021482148214821483,0.4,0.5608960724313249
0.021482148214821483,0.6,0.5604830081912034
0.03374337433743374,0.6,0.15743195940997506
0.03374337433743374,0.8,0.1572124452232846
0.057785778577857785,0.8,0.01936780089581263
0.057785778577857785,1.0,0.019359480863657623
1.0,1.0,2.5439023240520994e-23
