Recall,Precision,Threshold
1.0,0.0001,2.5439023240520994e-23
1.0,0.0001000020000400008,1.3351554810798118e-22
1.0,0.0001000040001600064,4.579005205801249e-22
1.0,0.0001000060003600216,7.410596360048278e-22
1.0,0.0001000080006400512,8.837800068656617e-22
1.0,0.00010001000100010001,1.20699961946932e-21
1.0,0.00010001200144017281,1.715911220193616e-21
1.0,0.00010001400196027444,1.727981664124948e-21
1.0,0.00010001600256040966,1.9976313900733376e-21
1.0,0.0001000180032405833,2.3187208381324738e-21
1.0,0.00010002000400080016,4.048961389533096e-21
1.0,0.00010002200484106503,6.257923096958417e-21
1.0,0.00010002400576138273,7.417604992756584e-21
1.0,0.00010002600676175806,1.0753888689243079e-20
1.0,0.00010002800784219582,1.1077165346097422e-20
1.0,0.00010003000900270081,1.1220333326406899e-20
1.0,0.00010003201024327785,1.3183705115341158e-20
1.0,0.00010003401156393174,1.360958892608566e-20
1.0,0.00010003601296466728,1.8592013775572683e-20
1.0,0.00010003801444548929,1.967641180754862e-20
1.0,0.00010004001600640257,2.1428498735966192e-20
1.0,0.00010004201764741191,2.1804047603582235e-20
1.0,0.00010004401936852215,3.4500501288173836e-20
1.0,0.00010004602116973808,3.4921347831052986e-20
1.0,0.00010004802305106452,3.5454426015571406e-20
1.0,0.00010005002501250626,4.048717244703835e-20
1.0,0.00010005202705406812,4.145184015746152e-20
1.0,0.00010005402917575491,4.799860271113884e-20
1.0,0.00010005603137757145,5.541219627437308e-20
1.0,0.00010005803365952253,5.919747999107827e-20
1.0,0.00010006003602161297,6.45495351154104e-20
1.0,0.00010006203846384759,6.74975112354103e-20
1.0,0.00010006404098623118,7.421346399827937e-20
1.0,0.00010006604358876858,7.439497266066943e-20
1.0,0.0001000680462714646,7.937349873601633e-20
1.0,0.00010007004903432403,8.384492100700224e-20
1.0,0.0001000720518773517,9.562914595509715e-20
1.0,0.0001000740548005524,9.640041551194778e-20
1.0,0.00010007605780393099,9.970202058399449e-20
1.0,0.00010007806088749225,1.0967630371794982e-19
1.0,0.00010008006405124099,1.2987143710615453e-19
1.0,0.00010008206729518205,1.4186310282750236e-19
1.0,0.00010008407061932023,1.5415812852129382e-19
1.0,0.00010008607402366035,1.6007500125364312e-19
1.0,0.00010008807750820722,1.6913416208768412e-19
1.0,0.00010009008107296567,1.7574386252706727e-19
1.0,0.00010009208471794051,1.8878813371749883e-19
1.0,0.00010009408844313654,1.9555358270764115e-19
1.0,0.00010009609224855862,2.034700481084578e-19
1.0,0.00010009809613421153,2.1178913244794939e-19
1.0,0.0001001001001001001,2.234523172597549e-19
1.0,0.00010010210414622915,2.2548978217441075e-19
1.0,0.0001001041082726035,2.365382221518797e-19
1.0,0.00010010611247922798,2.531866122102668e-19
1.0,0.0001001081167661074,2.660350227382135e-19
1.0,0.00010011012113324657,2.827727615003561e-19
1.0,0.00010011212558065032,3.042933594107315e-19
1.0,0.00010011413010832349,3.403076227883385e-19
1.0,0.00010011613471627087,3.5231236309025233e-19
1.0,0.00010011813940449731,3.618828229363259e-19
1.0,0.00010012014417300761,3.8635344541426704e-19
1.0,0.0001001221490218066,3.9030242088071137e-19
1.0,0.00010012415395089911,4.25997848358281e-19
1.0,0.00010012615896028997,4.455182092046479e-19
1.0,0.00010012816404998398,4.462904303436977e-19
1.0,0.00010013016921998598,4.719823282408879e-19
1.0,0.00010013217447030079,5.483188430174151e-19
1.0,0.00010013417980093326,6.509734762476247e-19
1.0,0.00010013618521188816,6.910403189327655e-19
1.0,0.00010013819070317037,6.96639366355818e-19
1.0,0.0001001401962747847,7.102440535133561e-19
1.0,0.00010014220192673597,7.165501500156994e-19
1.0,0.000100144207659029,7.349925136512116e-19
1.0,0.00010014621347166863,7.400411289464082e-19
1.0,0.0001001482193646597,8.103086656464524e-19
1.0,0.00010015022533800701,8.339497508191075e-19
1.0,0.00010015223139171541,8.599539609011973e-19
1.0,0.00010015423752578972,8.969371915290838e-19
1.0,0.00010015624374023476,1.0057087802627269e-18
1.0,0.00010015825003505539,1.048916863741265e-18
1.0,0.00010016025641025641,1.1066964544246575e-18
1.0,0.00010016226286584267,1.1111755723123665e-18
1.0,0.00010016426940181898,1.1206290164458668e-18
1.0,0.0001001662760181902,1.1541932449709861e-18
1.0,0.00010016828271496114,1.1766700755838526e-18
1.0,0.00010017028949213663,1.2207026676722936e-18
1.0,0.00010017229634972153,1.3129389804808028e-18
1.0,0.00010017430328772063,1.3984694943152491e-18
1.0,0.0001001763103061388,1.6336570717237641e-18
1.0,0.00010017831740498087,1.655736302310371e-18
1.0,0.00010018032458425165,1.7533709977183513e-18
1.0,0.000100182331843956,1.769864301503628e-18
1.0,0.00010018433918409874,1.772511527935456e-18
1.0,0.00010018634660468471,1.851312305879152e-18
1.0,0.00010018835410571876,1.8527892759794392e-18
1.0,0.00010019036168720569,2.0185504170106326e-18
1.0,0.00010019236934915036,2.106229771400538e-18
1.0,0.00010019437709155762,2.12076452027953e-18
1.0,0.00010019638491443229,2.133415851780929e-18
1.0,0.0001001983928177792,2.259908017898356e-18
1.0,0.0001002004008016032,2.310050244099923e-18
1.0,0.00010020240886590913,2.3367372508971536e-18
1.0,0.00010020441701070183,2.354840648445219e-18
1.0,0.00010020642523598614,2.3822880352609035e-18
1.0,0.00010020843354176687,2.488916060464708e-18
1.0,0.0001002104419280489,2.5050375445991156e-18
1.0,0.00010021245039483705,2.585891713046266e-18
1.0,0.00010021445894213617,2.6121752645062942e-18
1.0,0.00010021646756995109,2.7632650282456365e-18
1.0,0.00010021847627828666,2.9461879368722237e-18
1.0,0.00010022048506714773,2.9542447721499144e-18
1.0,0.00010022249393653912,3.206850786125962e-18
1.0,0.00010022450288646569,3.296584717100751e-18
1.0,0.00010022651191693226,3.4337211505734195e-18
1.0,0.00010022852102794371,3.447388189390176e-18
1.0,0.00010023053021950487,3.521988689338545e-18
1.0,0.00010023253949162056,3.601248322381756e-18
1.0,0.00010023454884429566,3.65181551644727e-18
1.0,0.00010023655827753498,3.678521290642621e-18
1.0,0.0001002385677913434,3.682886935087577e-18
1.0,0.00010024057738572574,3.699883715667417e-18
1.0,0.00010024258706068687,3.84654780892011e-18
1.0,0.0001002445968162316,3.890034752544302e-18
1.0,0.00010024660665236482,4.1403900122553434e-18
1.0,0.00010024861656909135,4.17535675221332e-18
1.0,0.00010025062656641604,4.230398946424826e-18
1.0,0.00010025263664434374,4.351087155992328e-18
1.0,0.00010025464680287932,4.3788808855694486e-18
1.0,0.0001002566570420276,4.494188583989141e-18
1.0,0.00010025866736179343,4.69953220686406e-18
1.0,0.00010026067776218167,4.77015870347702e-18
1.0,0.00010026268824319717,4.876595230960148e-18
1.0,0.00010026469880484479,4.981902551084651e-18
1.0,0.00010026670944712936,4.991949612057151e-18
1.0,0.00010026872017005575,5.165172934236151e-18
1.0,0.0001002707309736288,5.368669629444426e-18
1.0,0.00010027274185785336,5.46643143192487e-18
1.0,0.0001002747528227343,5.5258449345855135e-18
1.0,0.00010027676386827644,5.612860421105546e-18
1.0,0.00010027877499448466,5.700877701875244e-18
1.0,0.00010028078620136381,5.83057592532787e-18
1.0,0.00010028279748891875,5.9540037847500025e-18
1.0,0.00010028480885715431,6.0976433500963045e-18
1.0,0.00010028682030607538,6.139129569000974e-18
1.0,0.00010028883183568678,6.392183525490699e-18
1.0,0.00010029084344599338,6.5911736673742875e-18
1.0,0.00010029285513700004,6.6222361189528115e-18
1.0,0.00010029486690871162,6.6522517883448404e-18
1.0,0.00010029687876113296,6.8031045046047835e-18
1.0,0.00010029889069426892,6.841916857003444e-18
1.0,0.00010030090270812437,6.95074728565814e-18
1.0,0.00010030291480270417,6.96588477840751e-18
1.0,0.00010030492697801316,7.09674854843624e-18
1.0,0.00010030693923405621,7.256261647526855e-18
1.0,0.00010030895157083819,7.457427683515076e-18
1.0,0.00010031096398836393,7.525684638737016e-18
1.0,0.0001003129764866383,7.52725522094203e-18
1.0,0.00010031498906566619,7.755663187350187e-18
1.0,0.00010031700172545243,7.93837405122467e-18
1.0,0.00010031901446600188,8.143449548575419e-18
1.0,0.00010032102728731942,8.3337371139068e-18
1.0,0.0001003230401894099,8.448767292140483e-18
1.0,0.00010032505317227818,8.465707389710566e-18
1.0,0.00010032706623592913,8.468695333317803e-18
1.0,0.0001003290793803676,8.758754521262712e-18
1.0,0.00010033109260559848,8.824219617568845e-18
